,question_id,question,rank,id,article,score
0,0,"Who is the author of the memoir ""Nicotine""?",1,17552,"The best cigarette you will ever smoke, Gregor Hens writes in his new memoir, Nicotine, is the relapse cigarette. It tastes better, he adds, the longer the prior abstinence. This is dangerous knowledge. More than a few smokers relapsed after Sept. 11. Others did after the recent presidential election, as if heeding the poet James Dickey's dictum that guilt is magical. Some of us barely keep the urge at bay. There's a dark sliver in a former smoker's mind that for dire events, so as to justify lighting up again. But it's not as if we need large cues, Mr. Hens writes, when small ones will do. Every form of cigarette ad gives me a pang of longing, every carelessly cigarette packet at a bus stop, every cigarette butt, every beautiful woman holding a cigarette between her fingers or just looking like she could be holding one, he writes. My reading chair in Columbus gives me a pang, and M. s balcony in Berlin, and my old Jeep because I've smoked some of the best cigarettes while driving. Mr. Hens is a German writer and translator who has lived and taught in the United States. Nicotine? is the first of his own books to be issued in English. It's a hybrid volume: part memoir, part philosophical lament. It doesn't always click. There are passages (?I saw myself as a part of a field of tension?) that, in this translation by Jen Calleja, veer close to psychobabble. But when Nicotine? stays dry, earthy and combustible, like a Virginia tobacco blend, it has a lot to say and says it well. The author does not resemble your idea of a former serious smoker. There Mr. Hens is, and dimpled, in his author photo on the back flap. He looks as if he were ready to bag organic carrots during his weekend stint at the food . Indeed, he writes, he is a serious cyclist, a participant in triathlons and a member of the German Alpine Association. He's been a health nut all along, at least in between long bouts of smoking. I can't decide if this is suspicious or insane, like that famous photograph of the Kansas City Chiefs quarterback Len Dawson, taking a deep drag on a cigarette in the locker room during halftime of Super Bowl I in 1967. I've smoked well over a hundred thousand cigarettes in my life, and each one of those cigarettes meant something to me, Mr. Hens writes. He goes on: I've smoked cold cigarette butts, cigars, cigarillos, bidis, kreteks, spliffs and straw. I've missed flights because of cigarettes and burnt holes in trousers and car seats. I've singed my eyelashes and eyebrows, fallen asleep while smoking and dreamt of cigarettes of relapses and fires and bitter withdrawal. He sees this book as a chance finally to put the urge behind him, to comprehend it, seal it and bury it. He writes about his childhood. His father smoked so much that the author thought smoking",3.5184317
1,0,"Who is the author of the memoir ""Nicotine""?",2,17552,"while smoking and dreamt of cigarettes of relapses and fires and bitter withdrawal. He sees this book as a chance finally to put the urge behind him, to comprehend it, seal it and bury it. He writes about his childhood. His father smoked so much that the author thought smoking was the older man's job. His mother, a stylish woman who drove a Range Rover, smoked more when she was depressed. There's a faded romance in the European brand names of the cigarettes he or his family members smoked: Finas Kyriazi Fr'res Kims Murattis filterless Senior Services Erntes Van Nelle Halfzwares. This book takes us to unusual and evocative locations, too, such as the Frisian island of Borkum. Mr. Hens recounts a drive to the German city of Balderschwang, which sounds like a word an American politician would utter when something livelier than poppycock? was required. He is especially good on how those who quit become vicarious smokers. Sometimes I walk around the city and imagine that others are smoking on my behalf, he writes. I silently thank the smokers in front of the cafes and office buildings and in smoking areas, imagining that they do it for me, for my inner contentment. I have people smoke for me. Like any author worth reading, Mr. Hens is sometimes best when he goes dispatching obiter dicta. He is brutal about the Midwest. (?The most insignificant city in the United States is Columbus, Ohio. ) He's interesting about aphorisms and our need to attach them, usually erroneously, to famous people. He considers how often we utter the phrase no worries? when, in fact, we are murderously aggrieved. He charts the passing of time by noting how the white tennis balls of his youth have become neon green. This book is not a deep dive into smoking and literature, or into smoking and films. He doesn't go out of his way to conjure the romance of two lit cigarettes and a corner table. Nicotine? mostly omits the social pleasures of smoking. Mr. Hens is, with a metaphorical carton of American Spirits under his arm, a smoking section of one. His lapidary prose will sometimes put you in mind of the Norwegian writer Karl Ove Knausgaard's, though Mr. Knausgaard is generally more penetrating. The small photographs in Nicotine? recall the images in some of W. G. Sebald's books. This edition of Nicotine? includes an introduction by the English writer Will Self that belongs in the hall of fame of bad introductions. Mr. Self (never has his name seemed so apt) tries to Mr. Hens by bragging at length about his own peerless nicotine addiction. This introduction is profitably torn out, the way smokers of unfiltered cigarettes tear the filters from Marlboros. This seems like the place to mention that Mr. Hens compares the cottony insides of a cigarette filter, perfectly, to artichoke hair. Someday, surely, smoking will be outlawed. Who will smoke the last unfiltered Camel? Some of us who quit years ago like",-2.276561
2,0,"Who is the author of the memoir ""Nicotine""?",3,17689,"American novelists have long complained about the ability of real life to outstrip fiction. In his landmark 1961 essay Writing American Fiction, Philip Roth observed that actuality is continually outdoing our talents, and the culture tosses up figures almost daily that are the envy of any novelist. The figure Roth cites is Charles Van Doren, of scandal fame but place Mr. Van Doren next to Donald J. Trump, and you can measure the change in the nature of credibility over the past . Mr. Van Doren was disgraced when it was revealed that he had been given the answers to the questions on the game show ? a contest that television viewers believed was real, not staged. Today an entire flourishing genre of television goes by the name reality, yet no one who watches it thinks it is genuinely real that is, unplanned and unedited. Artificiality is what makes reality television enjoyable, even though these same shows, if advertised as fiction, would appear banal, repetitive and undramatic. Reality is the ingredient that turns a bad fiction into an enthralling one. This dynamic is part of the novel's origins. The earliest English novels, from Moll Flanders? (1722) to Clarissa? (1748) were published anonymously, with titles that implied they were true stories. It took generations to establish the conventions of fiction sufficiently to allow readers to take pleasure in novels that were explicitly untrue. The suspension of disbelief that fiction involves is a late stage in the evolution of taste, and it may prove to have been a temporary one. The rise of the memoir over the past few decades doesn't mean that readers are ready to abandon the techniques of fiction but, like readers three centuries ago, they want the freedom of fiction along with consequentiality of fact. The author David Shields diagnosed this desire in his 2010 manifesto Reality Hunger?: I find it very nearly impossible to read a contemporary novel that presents itself as a novel. Many fiction writers share this intuition, though they respond to it in different ways. One way is to make the novel by turning its imitation of reality into an exaggeration, a mirror. Has our reality since felt apocalyptic? Then imagine Manhattan being destroyed by zombies (Colson Whitehead's Zone One?) or a flood (Nathaniel Rich's Odds Against Tomorrow?) or civil war and foreign bankers (Gary Shteyngart's Super Sad True Love Story?). Because we know such things could never happen, they mark the story as fiction because we know similar things have happened and will happen, they become truthful fictions. An alternative approach is to make fiction as close to fact as possible, by reducing its scope to the one subject on which each writer is an unchallengeable authority: himself or herself. Ben Lerner's 10:04, Tao Lin's Taipei? and Sheila Heti's How Should a Person Be? all seek to convince us that we are reading about the writer's actual life. These writers are engaged in a sophisticated project, in which the line between truth and",-6.1288157
3,1,What skills are inmates learning in the innovative program at Lecce Penitentiary?,1,17382,"LECCE, Italy One of his first students was a young man he had arrested four years earlier. Others have been convicted of armed robbery, drug trafficking and criminal association with the mafia. The classrooms are frugally equipped, behind windows protected by vertical and horizontal bars, although one has brightly colored paintings covering the walls. But none of that deterred Marco Albanese, a police officer for 19 years and a trained sommelier for five, from teaching a class of rapt students the finer points of deconstructing the bouquet of a chardonnay or pouring a rare vintage. Mr. Albanese, 43, is an instructor in an innovative effort at Lecce Penitentiary to teach inmates to be sommeliers, or wine stewards. The courses are part of a program to teach prisoners new professional skills, as well as to help them develop a bond with the region, which is renowned for its negroamaro grapes. The program has been enthusiastically embraced by the prisoner students, who were tasting white wines on a recent afternoon. It has also been an eye opener for Mr. Albanese. I could see their human aspect, once they were out of their context, Mr. Albanese, who traded in his police uniform for the crisp blue jacket and tie of a sommelier for the class. And I didn't have to keep the same distance, now that I was their professor. ? He added, They also deserve a second chance, and it's important that they know that the institutions do believe that they can be educated to a different life. In eight lessons, the group of 30 men and women, who are instructed in separate classes, learn how to taste, choose and serve local wines. We hope to teach them the social value of work and the preciousness of their own territory, so that they can later choose to work here, already having the right skill set, said Rita Russo, the director of Lecce Penitentiary, which is the largest in the region of Apulia. Inmates can also study for their high school diplomas, cultivate tomatoes, take theater classes and learn to be painters or tailors. Class begins with a slide show on the history of wine, explaining how it was drunk by the ancient Greeks and introducing the students to the Roman ancestors of modern sommeliers in Italy. On a school table, covered with a khaki tablecloth, stood wine glasses, ready for use. Three bottles of chardonnay, a red primitivo and a negroamaro stood on a table nearby. Mr. Albanese then addressed the prisoners, who sat facing him on stools listing the temperatures at which different wines should be served and how to store them in cellars. For a finale, he offered a tip. Do remember, even if you had Trump over for dinner, the pope would still be served first. The clergy does come first, even before heads of state, he said, to raucous laughter. The prisoners, whose identity is being protected by the prison, were not allowed to be interviewed or photographed",5.459594
4,1,What skills are inmates learning in the innovative program at Lecce Penitentiary?,2,17382,"Do remember, even if you had Trump over for dinner, the pope would still be served first. The clergy does come first, even before heads of state, he said, to raucous laughter. The prisoners, whose identity is being protected by the prison, were not allowed to be interviewed or photographed for this article. Roberto Giannone, who works for the local sommelier association, then demonstrated how to open a bottle, neatly slicing off the capsule covering the bottleneck in three cuts, inserting the corkscrew and smoothly pulling out the cork. Once the cork is out, he said, use a napkin to show it to your customers. It's an easy way to be polite and avoid objections. Since the 1970s, the Italian penal system has focused on for inmates. However, a lack of funds for rehabilitation, as well as chronic overcrowding, means that thousands of incarcerated men and women have little to do all day. That has sparked some innovative rehabilitation programs, including a restaurant inside a prison near Milan in which the waiters and cooks are inmates. But the sommelier class at the Lecce prison is believed to be unique in Italy. Of course, sommelier courses can't be considered a treatment, said Georgia Zara, the head of a program at the University of Turin that offers a master's degree in criminological and forensic psychology. But they do educate inmates and create social interaction, which is very important. The classes also offer a bridge between the jail context and the world outside, so it's a small investment to reduce the risk of recidivism, Ms. Zara said. Gianvito Rizzo, 53, is the chief executive at the Feudi di Guagnano, a local vintner that provides wine, like negroamaro, for the classes. He is also the creator of the sommelier classes at the prison. Mr. Rizzo has proposed that inmates start working on his nearly 75 acres of vines in the coming year under certain circumstances, some inmates in Italy are allowed to work outside prisons. I see wine in a democratic way, Mr. Rizzo said as he walked through his vineyard recently. The countryside is the opposite to a cell. You are free. You smell nature, and learn to care for it. I think it'd be good also for inmates to try it out. Mr. Rizzo said that when he had received a master's degree from the Bocconi University business school in Milan three decades ago, he had been fixated? on doing something for his native region of Salento, in Apulia, on the heel of the Italian boot. He settled on going into the wine business, which had been struggling to convert farmers who cultivated for personal or local use into becoming larger producers. He now produces 16 different wines from grapes grown in vineyards that he and two friends and business partners inherited from their fathers, added to those that other friends asked them to cultivate on their behalf. He calls this collaborative effort his first social experiment. When Mr. Rizzo heard about",-2.1925611
5,1,What skills are inmates learning in the innovative program at Lecce Penitentiary?,3,17382,"He now produces 16 different wines from grapes grown in vineyards that he and two friends and business partners inherited from their fathers, added to those that other friends asked them to cultivate on their behalf. He calls this collaborative effort his first social experiment. When Mr. Rizzo heard about the penitentiary's activities for prisoners, he proposed the sommelier classes to Ms. Russo. While it is unclear if any of the students will ever become professional sommeliers, the exposure to the world of wine provided by the classes has been very welcome. I don't even drink, but I've learned to sip it, smell it and taste it, said one inmate, who is serving a sentence and who was granted an exception to speak anonymously. You can think it's a small thing, but it means the world to us.",-4.931535
6,2,"Who surrendered to the authorities for changing the Hollywood sign to ""Hollyweed""?",1,17547,"A man who admitted changing the Hollywood sign to Hollyweed? has turned himself in to the authorities. Zachary Cole Fernandez, a artist, surrendered on Monday with his lawyer at his side, according to the Los Angeles Police Department. He was booked on a misdemeanor trespassing charge and released on bail. The sign was changed about 3 a. m. on Jan. 1, when two O's were partly obscured by sheets and turned into E's. It remained that way throughout the morning before the sign was restored. In a phone interview, Mr. Fernandez said he considered the results more of an art installation than a prank. Yeah, I broke the rules, but I broke it with good spirit and good intentions, he said on Tuesday. It was just to bring light and positivity and happiness. But David Ryu, a Los Angeles councilman, remained unamused. Pranks of this nature deplete the resources of our valuable public safety personnel, in both responding to the prank and in responding to the increased crowds and copycat attempts that these incidents generate, he said in a statement on Monday. My office has urged the city attorney and L. A. P. D. to investigate and prosecute this case, as well as all attempts to trespass near, alter, or vandalize the sign. Mr. Fernandez is expected to appear in court on Feb. 15. He said he had been inspired by a similar alteration in 1976, and that he had used clamps and sheets so as not to damage the sign. I don't want to destroy anything, he said. I'm about peace and love and respect and integrity and a lot of things that in some ways are missing these days. I wanted to show there's a light in the world. A father of four children ranging in age from 3 to 9, Mr. Fernandez said he had been told he could face up to six months in jail. He said he saw that as excessive for a harmless? art project, but would accept any consequences. I'm a person of integrity, he said. If I do something wrong, I will own up to it.",8.200672
7,2,"Who surrendered to the authorities for changing the Hollywood sign to ""Hollyweed""?",2,17832,"Grace Huezo, 20, a student at Hunter College, marched with her twin sister holding a Nasty Woman? sign. She said she was there to defend women's rights after she was appalled by Mr. Trump's comments about grabbing women. We're here saying, no, people do not have permission to grab women without our permission, she said. She said she was buoyed by the huge turnout and the camaraderie. I'm hopeful to see so many people that are not giving up and they're keeping their spirit, she said. We're all just going to stick together over the next four years. Emma G. Fitzsimmons _____ Popular chant: March! March! March!? Notable signs: I won't stop til it rains glass? You can't comb over misogyny? (accompanied by a drawing of Mr. Trump's hair) Flunk the Electoral College. Overheard: I got to bring my high school punk rock out, said Emily Hastings, 39, a woman from Denver wearing a black eat the rich? and carrying a Don't tread on women? sign. Punk rock is all about resistance. The march began in a park at the center of the city with a group singing You've got a friend. Marchers blanketed the park nestled between the state capitol and city hall, hauling strollers, wearing pink hats and often hugging and kissing. Julie Turkewitz _____ Notable Sign: Make America Compassionate Again, and I Love You? Thousands of demonstrators gathered on a drizzly morning clad in rain boots, ponchos and pink knit pussyhats? to march to the Capitol. What Trump has said is so based on exclusion and winning and being right versus taking care of everyone, said Hilary James, 27, a musician from Minneapolis. Even if he doesn't listen to us, I feel it's important to not sit back. Christina Capecchi _____ Notable Sign: Make America Think Again Gloria Cole, 66, had turned the protest into a family affair, traveling here with her wife, her daughter, her daughter's boyfriend, and her brother and . I drew a line, it's like, I'm an old woman I'm not that old, I'm 66 I have to stand up for equal rights for everyone, for human rights, Ms. Cole said. We're here, and we're not going away. Aili Shaw, 14, held a white sign that read, Our arms are tired from holding these signs since the 1920s. Ms. Shaw had traveled here, by train and car, with friends from her home in Coventry, R. I. Women don't have the rights they should, she said. Jess Bidgood _____ Popular Chant: Thank You. Women were chanting this to the organizers of the march as they kicked off the day's events. Notable Clothing: At the corner of C and Third Southwest, many women (and some men) were wearing pussyhats? of all shades of pink. Organizers wanted to knit as many as one million hats for this event. People were also getting creative with the signs they carry. Alan and Alison Lewis drove in from Astoria with their Grace. You shouldn't have to have a relationship",-9.181833
8,2,"Who surrendered to the authorities for changing the Hollywood sign to ""Hollyweed""?",3,17623,"Levi Felix, who wanted people to untangle themselves from technology, died in Pismo Beach. He was 32. [The New York Times] An innovative development in Orange County will place homeless veterans in repurposed shipping containers. [Orange County Register] It's not just how berries taste, it's how they're perceived. A sensory analyst in Watsonville explains. [The New York Times] No one understands our new era of populism better than Bravo's Andy Cohen. [The New York Times] In East Hollywood, Virgil Normal is where the cool kids shop. [The New York Times] A debut novel gets inside the heads of Marin County teenagers who have sharpened their claws on social media. [The New York Times] The Daily 360 Video: At the border near San Diego, separated family members reunite through the fence. [The New York Times] President Obama granted national monument status to 6, 230 acres of land in California. [KPCC] Hello, I'm Johnny Cash. That opening line, as if the assembled audience needed any introduction, gave way to a giddy roar and then, one of country music's great performances. It was on this day in 1968 that Johnny Cash played his At Folsom Prison? concert. The event was meant to revive Mr. Cash's career, which had flagged since the 1950s thanks to an amphetamine habit. Executives at Mr. Cash's record label, Columbia Records, saw him as so unreliable that they kept the planning of the Folsom show a secret from the press, said Robert Hilburn, author of Johnny Cash: The Life. They weren't certain he would show. Thankfully, he did. And he was incredible. It was like he sensed this was a moment, said Mr. Hilburn, who himself attended the concert after hearing about it from a disc jockey. Mr. Cash tailored his song choices along themes of longing, sin and misfortune, including, of course, his 1955 hit Folsom Prison Blues. Assembled in the heavily guarded Dining Room 2, the inmates couldn't get enough. You could just sense their spirit rising, said Mr. Hilburn. It was just electrifying. The band actually performed twice, in the morning and afternoon, to ensure a good recording. At Folsom Prison? drew largely from the first show and was released four months later. It was a huge success and kicked off a resurgence in Mr. Cash's popularity. A year later, he did another prison record, At San Quentin, which was also successful. In the wake of the performances, he became a prominent voice for prisoner rights. California Today goes live at 6 a. m. Pacific time weekdays. Tell us what you want to see: CAtoday@nytimes. com. The California Today columnist, Mike McPhate, is a Californian born outside Sacramento and raised in San Juan Capistrano. He lives in Davis. Follow him on Twitter. California Today is edited by Julie Bloom, who grew up in Los Angeles and attended U. C. Berkeley.",-9.527172
9,3,What is the name of the journalist and archivist who advocated for the online publication of the C.I.A. files?,1,17778,"the agency (the magician, who someone claimed was a healer) or someone writes an interesting academic paper (the spiritualist healers) and the result is files like these, summaries of work that the agency thought notable enough to file away. Others have no apparent reason for having been collected by the C. I. A. like a ad for the Buffalo Bill Wax Museum. (Maybe it's a code, the key to which remains classified.) The Crest archive represents a major document dump, but the C. I. A. has published many other declassified files online. Its files are typically unclassified after 25 years. For those who believe the truth is out there, the website has a collection of reports on unidentified flying objects, and capitalized on interest in last year's reboot by posting the top five documents Mulder would love to get his hands on. After journalists at MuckRock, a news site, filed Freedom of Information Act requests for access to the Crest database, the C. I. A. said in 2015 that it would take 28 years to publish. In 2015, the agency cut its estimate to six years, and said the documents would be delivered on 1, 200 compact discs at the price of $108, 000. Put off by what he perceived as stalling, Mr. Best crowdfunded $15, 000 to print, scan and publish files himself. In October, the C. I. A. said it would post the files. C. I. A. made significant architectural and procedural changes to load and index the Crest documents more quickly, said Heather Fritz Horniak, a spokeswoman for the C. I. A. This means that we were able to post the entire Crest collection, totaling nearly 13 million pages, online much earlier than anticipated.",-1.5102105
