question,rank,article_id,article,score,snippet,answer,start_idx,end_idx,longer_answer
"Who is the author of the memoir ""Nicotine""?",1,17552,"The best cigarette you will ever smoke, Gregor Hens writes in his new memoir, Nicotine, is the relapse cigarette. It tastes better, he adds, the longer the prior abstinence. This is dangerous knowledge. More than a few smokers relapsed after Sept. 11. Others did after the recent presidential election, as if heeding the poet James Dickey's dictum that guilt is magical. Some of us barely keep the urge at bay. There's a dark sliver in a former smoker's mind that for dire events, so as to justify lighting up again. But it's not as if we need large cues, Mr. Hens writes, when small ones will do. Every form of cigarette ad gives me a pang of longing, every carelessly cigarette packet at a bus stop, every cigarette butt, every beautiful woman holding a cigarette between her fingers or just looking like she could be holding one, he writes. My reading chair in Columbus gives me a pang, and M. s balcony in Berlin, and my old Jeep because I've smoked some of the best cigarettes while driving. Mr. Hens is a German writer and translator who has lived and taught in the United States. Nicotine? is the first of his own books to be issued in English. It's a hybrid volume: part memoir, part philosophical lament. It doesn't always click. There are passages (?I saw myself as a part of a field of tension?) that, in this translation by Jen Calleja, veer close to psychobabble. But when Nicotine? stays dry, earthy and combustible, like a Virginia tobacco blend, it has a lot to say and says it well. The author does not resemble your idea of a former serious smoker. There Mr. Hens is, and dimpled, in his author photo on the back flap. He looks as if he were ready to bag organic carrots during his weekend stint at the food . Indeed, he writes, he is a serious cyclist, a participant in triathlons and a member of the German Alpine Association. He's been a health nut all along, at least in between long bouts of smoking. I can't decide if this is suspicious or insane, like that famous photograph of the Kansas City Chiefs quarterback Len Dawson, taking a deep drag on a cigarette in the locker room during halftime of Super Bowl I in 1967. I've smoked well over a hundred thousand cigarettes in my life, and each one of those cigarettes meant something to me, Mr. Hens writes. He goes on: I've smoked cold cigarette butts, cigars, cigarillos, bidis, kreteks, spliffs and straw. I've missed flights because of cigarettes and burnt holes in trousers and car seats. I've singed my eyelashes and eyebrows, fallen asleep while smoking and dreamt of cigarettes of relapses and fires and bitter withdrawal. He sees this book as a chance finally to put the urge behind him, to comprehend it, seal it and bury it. He writes about his childhood. His father smoked so much that the author thought smoking",0.9904252290725708,"{'score': 0.9904252290725708, 'start': 40, 'end': 51, 'answer': 'Gregor Hens'}",Gregor Hens,40,51,"cigarette you will ever smoke, Gregor Hens writes in his new memoir,"
"Who is the author of the memoir ""Nicotine""?",2,17689,"American novelists have long complained about the ability of real life to outstrip fiction. In his landmark 1961 essay Writing American Fiction, Philip Roth observed that actuality is continually outdoing our talents, and the culture tosses up figures almost daily that are the envy of any novelist. The figure Roth cites is Charles Van Doren, of scandal fame but place Mr. Van Doren next to Donald J. Trump, and you can measure the change in the nature of credibility over the past . Mr. Van Doren was disgraced when it was revealed that he had been given the answers to the questions on the game show ? a contest that television viewers believed was real, not staged. Today an entire flourishing genre of television goes by the name reality, yet no one who watches it thinks it is genuinely real that is, unplanned and unedited. Artificiality is what makes reality television enjoyable, even though these same shows, if advertised as fiction, would appear banal, repetitive and undramatic. Reality is the ingredient that turns a bad fiction into an enthralling one. This dynamic is part of the novel's origins. The earliest English novels, from Moll Flanders? (1722) to Clarissa? (1748) were published anonymously, with titles that implied they were true stories. It took generations to establish the conventions of fiction sufficiently to allow readers to take pleasure in novels that were explicitly untrue. The suspension of disbelief that fiction involves is a late stage in the evolution of taste, and it may prove to have been a temporary one. The rise of the memoir over the past few decades doesn't mean that readers are ready to abandon the techniques of fiction but, like readers three centuries ago, they want the freedom of fiction along with consequentiality of fact. The author David Shields diagnosed this desire in his 2010 manifesto Reality Hunger?: I find it very nearly impossible to read a contemporary novel that presents itself as a novel. Many fiction writers share this intuition, though they respond to it in different ways. One way is to make the novel by turning its imitation of reality into an exaggeration, a mirror. Has our reality since felt apocalyptic? Then imagine Manhattan being destroyed by zombies (Colson Whitehead's Zone One?) or a flood (Nathaniel Rich's Odds Against Tomorrow?) or civil war and foreign bankers (Gary Shteyngart's Super Sad True Love Story?). Because we know such things could never happen, they mark the story as fiction because we know similar things have happened and will happen, they become truthful fictions. An alternative approach is to make fiction as close to fact as possible, by reducing its scope to the one subject on which each writer is an unchallengeable authority: himself or herself. Ben Lerner's 10:04, Tao Lin's Taipei? and Sheila Heti's How Should a Person Be? all seek to convince us that we are reading about the writer's actual life. These writers are engaged in a sophisticated project, in which the line between truth and",0.4678330421447754,"{'score': 0.4678330421447754, 'start': 325, 'end': 342, 'answer': 'Charles Van Doren'}",Charles Van Doren,325,342,"The figure Roth cites is Charles Van Doren, of scandal fame but place"
"Who is the author of the memoir ""Nicotine""?",3,17552,"while smoking and dreamt of cigarettes of relapses and fires and bitter withdrawal. He sees this book as a chance finally to put the urge behind him, to comprehend it, seal it and bury it. He writes about his childhood. His father smoked so much that the author thought smoking was the older man's job. His mother, a stylish woman who drove a Range Rover, smoked more when she was depressed. There's a faded romance in the European brand names of the cigarettes he or his family members smoked: Finas Kyriazi Fr'res Kims Murattis filterless Senior Services Erntes Van Nelle Halfzwares. This book takes us to unusual and evocative locations, too, such as the Frisian island of Borkum. Mr. Hens recounts a drive to the German city of Balderschwang, which sounds like a word an American politician would utter when something livelier than poppycock? was required. He is especially good on how those who quit become vicarious smokers. Sometimes I walk around the city and imagine that others are smoking on my behalf, he writes. I silently thank the smokers in front of the cafes and office buildings and in smoking areas, imagining that they do it for me, for my inner contentment. I have people smoke for me. Like any author worth reading, Mr. Hens is sometimes best when he goes dispatching obiter dicta. He is brutal about the Midwest. (?The most insignificant city in the United States is Columbus, Ohio. ) He's interesting about aphorisms and our need to attach them, usually erroneously, to famous people. He considers how often we utter the phrase no worries? when, in fact, we are murderously aggrieved. He charts the passing of time by noting how the white tennis balls of his youth have become neon green. This book is not a deep dive into smoking and literature, or into smoking and films. He doesn't go out of his way to conjure the romance of two lit cigarettes and a corner table. Nicotine? mostly omits the social pleasures of smoking. Mr. Hens is, with a metaphorical carton of American Spirits under his arm, a smoking section of one. His lapidary prose will sometimes put you in mind of the Norwegian writer Karl Ove Knausgaard's, though Mr. Knausgaard is generally more penetrating. The small photographs in Nicotine? recall the images in some of W. G. Sebald's books. This edition of Nicotine? includes an introduction by the English writer Will Self that belongs in the hall of fame of bad introductions. Mr. Self (never has his name seemed so apt) tries to Mr. Hens by bragging at length about his own peerless nicotine addiction. This introduction is profitably torn out, the way smokers of unfiltered cigarettes tear the filters from Marlboros. This seems like the place to mention that Mr. Hens compares the cottony insides of a cigarette filter, perfectly, to artichoke hair. Someday, surely, smoking will be outlawed. Who will smoke the last unfiltered Camel? Some of us who quit years ago like",0.05105575546622276,"{'score': 0.05105575546622276, 'start': 2123, 'end': 2142, 'answer': 'Karl Ove Knausgaard'}",Karl Ove Knausgaard,2123,2142,"mind of the Norwegian writer Karl Ove Knausgaard's, though Mr. Knausgaard is generally"
What skills are inmates learning in the innovative program at Lecce Penitentiary?,1,17382,"LECCE, Italy One of his first students was a young man he had arrested four years earlier. Others have been convicted of armed robbery, drug trafficking and criminal association with the mafia. The classrooms are frugally equipped, behind windows protected by vertical and horizontal bars, although one has brightly colored paintings covering the walls. But none of that deterred Marco Albanese, a police officer for 19 years and a trained sommelier for five, from teaching a class of rapt students the finer points of deconstructing the bouquet of a chardonnay or pouring a rare vintage. Mr. Albanese, 43, is an instructor in an innovative effort at Lecce Penitentiary to teach inmates to be sommeliers, or wine stewards. The courses are part of a program to teach prisoners new professional skills, as well as to help them develop a bond with the region, which is renowned for its negroamaro grapes. The program has been enthusiastically embraced by the prisoner students, who were tasting white wines on a recent afternoon. It has also been an eye opener for Mr. Albanese. I could see their human aspect, once they were out of their context, Mr. Albanese, who traded in his police uniform for the crisp blue jacket and tie of a sommelier for the class. And I didn't have to keep the same distance, now that I was their professor. ? He added, They also deserve a second chance, and it's important that they know that the institutions do believe that they can be educated to a different life. In eight lessons, the group of 30 men and women, who are instructed in separate classes, learn how to taste, choose and serve local wines. We hope to teach them the social value of work and the preciousness of their own territory, so that they can later choose to work here, already having the right skill set, said Rita Russo, the director of Lecce Penitentiary, which is the largest in the region of Apulia. Inmates can also study for their high school diplomas, cultivate tomatoes, take theater classes and learn to be painters or tailors. Class begins with a slide show on the history of wine, explaining how it was drunk by the ancient Greeks and introducing the students to the Roman ancestors of modern sommeliers in Italy. On a school table, covered with a khaki tablecloth, stood wine glasses, ready for use. Three bottles of chardonnay, a red primitivo and a negroamaro stood on a table nearby. Mr. Albanese then addressed the prisoners, who sat facing him on stools listing the temperatures at which different wines should be served and how to store them in cellars. For a finale, he offered a tip. Do remember, even if you had Trump over for dinner, the pope would still be served first. The clergy does come first, even before heads of state, he said, to raucous laughter. The prisoners, whose identity is being protected by the prison, were not allowed to be interviewed or photographed",0.3123021423816681,"{'score': 0.3123021423816681, 'start': 780, 'end': 799, 'answer': 'professional skills'}",professional skills,780,799,"program to teach prisoners new professional skills, as well as to help"
What skills are inmates learning in the innovative program at Lecce Penitentiary?,2,17382,"Do remember, even if you had Trump over for dinner, the pope would still be served first. The clergy does come first, even before heads of state, he said, to raucous laughter. The prisoners, whose identity is being protected by the prison, were not allowed to be interviewed or photographed for this article. Roberto Giannone, who works for the local sommelier association, then demonstrated how to open a bottle, neatly slicing off the capsule covering the bottleneck in three cuts, inserting the corkscrew and smoothly pulling out the cork. Once the cork is out, he said, use a napkin to show it to your customers. It's an easy way to be polite and avoid objections. Since the 1970s, the Italian penal system has focused on for inmates. However, a lack of funds for rehabilitation, as well as chronic overcrowding, means that thousands of incarcerated men and women have little to do all day. That has sparked some innovative rehabilitation programs, including a restaurant inside a prison near Milan in which the waiters and cooks are inmates. But the sommelier class at the Lecce prison is believed to be unique in Italy. Of course, sommelier courses can't be considered a treatment, said Georgia Zara, the head of a program at the University of Turin that offers a master's degree in criminological and forensic psychology. But they do educate inmates and create social interaction, which is very important. The classes also offer a bridge between the jail context and the world outside, so it's a small investment to reduce the risk of recidivism, Ms. Zara said. Gianvito Rizzo, 53, is the chief executive at the Feudi di Guagnano, a local vintner that provides wine, like negroamaro, for the classes. He is also the creator of the sommelier classes at the prison. Mr. Rizzo has proposed that inmates start working on his nearly 75 acres of vines in the coming year under certain circumstances, some inmates in Italy are allowed to work outside prisons. I see wine in a democratic way, Mr. Rizzo said as he walked through his vineyard recently. The countryside is the opposite to a cell. You are free. You smell nature, and learn to care for it. I think it'd be good also for inmates to try it out. Mr. Rizzo said that when he had received a master's degree from the Bocconi University business school in Milan three decades ago, he had been fixated? on doing something for his native region of Salento, in Apulia, on the heel of the Italian boot. He settled on going into the wine business, which had been struggling to convert farmers who cultivated for personal or local use into becoming larger producers. He now produces 16 different wines from grapes grown in vineyards that he and two friends and business partners inherited from their fathers, added to those that other friends asked them to cultivate on their behalf. He calls this collaborative effort his first social experiment. When Mr. Rizzo heard about",0.7227321863174438,"{'score': 0.7227321863174438, 'start': 1016, 'end': 1033, 'answer': 'waiters and cooks'}",waiters and cooks,1016,1033,near Milan in which the waiters and cooks are inmates. But the sommelier
What skills are inmates learning in the innovative program at Lecce Penitentiary?,3,18428,"WASHINGTON As the Central Intelligence Agency was setting up its secret prisons overseas 15 years ago to interrogate terrorism suspects, a Defense Department unit was considering a proposal to establish a secret military prison abroad, according to previously undisclosed government documents. The proposal was presented in a 2002 memo written in part by Bruce Jessen, one of two psychologists who eventually helped create the C. I. A. s enhanced interrogation? program. The memo, obtained by The New York Times, recommended opening at least one secret overseas site where prisoners would be subjected to constant sensory deprivation? and develop a profound sense of despair. The military, though, did not act on the proposal for an undisclosed . S. unsuspected, secure location? to hold, manage and exploit detainees. The Department of Defense, through a spokeswoman, declined to comment on the extent to which the plan, which originated in the military's Joint Personnel Recovery Agency, was considered. Aside from sensory deprivation, the memo suggested that additional pressure tactics be permitted against prisoners, including those that maximize cultural undesirability, but it did not mention the brutal physical coercion techniques, such as waterboarding, later approved for use in the C. I. A. prisons. The memo is included among several government documents provided during the discovery process in a lawsuit brought in federal court in Spokane, Wash. against Dr. Jessen and the other psychologist, James E. Mitchell, by two former C. I. A. prisoners and the representative of a third man, who died in custody. The documents, along with others previously released, are helping to fill in gaps in the historical record about the interrogation program of the George W. Bush era. Their disclosure comes soon after the Trump administration drafted an executive order calling for reviving the C. I. A. black site? prisons, though the White House has since appeared to back off from the idea after lawmakers and cabinet officials objected. Also disclosed in the lawsuit were a series of PowerPoint training slides for American personnel apparently headed to the military detention center at Guantnamo Bay, Cuba, discussing how they could defeat efforts by terrorism suspects to resist questioning. Those slides or a similar set were used in a training course by Dr. Jessen and a colleague in March 2002, and excerpted in a 2008 Senate Armed Services Committee report. Among the potential methods listed are psychological torture? through isolation, threats against self or family? and the use of drugs. When Dr. Jessen's memo was written in April 2002, he was the chief psychologist at the Joint Personnel Recovery Agency, a Defense Department unit overseeing training programs in which military personnel are subjected to simulated torture tactics and mock interrogation to prepare them for possible capture by regimes violating the laws of war. Dr. Jessen and most of his colleagues had no experience in conducting actual interrogations, but the Department of Defense legal counsel sought information from the agency on detainee exploitation? beginning in late 2001. Dr. Jessen soon left his military position to",0.02228289097547531,"{'score': 0.02228289097547531, 'start': 614, 'end': 633, 'answer': 'sensory deprivation'}",sensory deprivation,614,633,would be subjected to constant sensory deprivation? and develop a profound sense
"Who surrendered to the authorities for changing the Hollywood sign to ""Hollyweed""?",1,17547,"A man who admitted changing the Hollywood sign to Hollyweed? has turned himself in to the authorities. Zachary Cole Fernandez, a artist, surrendered on Monday with his lawyer at his side, according to the Los Angeles Police Department. He was booked on a misdemeanor trespassing charge and released on bail. The sign was changed about 3 a. m. on Jan. 1, when two O's were partly obscured by sheets and turned into E's. It remained that way throughout the morning before the sign was restored. In a phone interview, Mr. Fernandez said he considered the results more of an art installation than a prank. Yeah, I broke the rules, but I broke it with good spirit and good intentions, he said on Tuesday. It was just to bring light and positivity and happiness. But David Ryu, a Los Angeles councilman, remained unamused. Pranks of this nature deplete the resources of our valuable public safety personnel, in both responding to the prank and in responding to the increased crowds and copycat attempts that these incidents generate, he said in a statement on Monday. My office has urged the city attorney and L. A. P. D. to investigate and prosecute this case, as well as all attempts to trespass near, alter, or vandalize the sign. Mr. Fernandez is expected to appear in court on Feb. 15. He said he had been inspired by a similar alteration in 1976, and that he had used clamps and sheets so as not to damage the sign. I don't want to destroy anything, he said. I'm about peace and love and respect and integrity and a lot of things that in some ways are missing these days. I wanted to show there's a light in the world. A father of four children ranging in age from 3 to 9, Mr. Fernandez said he had been told he could face up to six months in jail. He said he saw that as excessive for a harmless? art project, but would accept any consequences. I'm a person of integrity, he said. If I do something wrong, I will own up to it.",0.9992271661758423,"{'score': 0.9992271661758423, 'start': 103, 'end': 125, 'answer': 'Zachary Cole Fernandez'}",Zachary Cole Fernandez,103,125,"himself in to the authorities. Zachary Cole Fernandez, a artist, surrendered on Monday"
"Who surrendered to the authorities for changing the Hollywood sign to ""Hollyweed""?",2,17663,"Monges, who had been working in Venezuela, said in a phone interview. I am stranded here in this country. The number of Cubans leaving for America has surged since the two governments resumed relations in late 2014, in expectation that the policy known as wet foot, dry foot? because those caught at sea were sent back but those who made it to dry land were allowed to stay might end. A senior official with the Department of Homeland Security, who spoke on the condition of anonymity in keeping with agency policy, said the administration decided to end the program immediately to prevent a mass exodus that would risk lives at land and sea. In Cuba, the abrupt change seemed to further divide people along generational lines. Many older Cubans said the decision was a just one that would halt the steady drain of the nation's citizens especially educated ones like doctors to America. One man, selling copies of the newspaper Granma on the street, said the measure was necessary to stop undermining the Cuban government? by enticing people to throw their fates to the sea. But younger Cubans, for whom the prospect of a life in America offers a glimmer of hope amid economic hardship, were crushed, forced to envision a future with fewer options. Cuban identity, and pride, is in no small part forged by its relationship with the United States, both in the tiny country's defiance of its bigger neighbor and then in the unique privileges afforded to those who fled and made it to America. To be suddenly placed on equal footing with the millions of others around the world hoping to do the same was an especially hard fall. In Havana, where until recently the internet has been out of reach for most ordinary Cubans, the city's relatively new parks have become stations of despair following the announcement. For a nation robbed of connectivity for more than a decade, the sudden surge of digital news through email, messaging and social media seemed like a particularly cruel way to find out their special treatment had ended. A few blocks from the American Embassy, in the neighborhood of Vedado, the casual atmosphere changed suddenly as the news began to spread. Visitors checking their phones shared the news with those within shouting distance. One youth yelled to the gathered crowds: Have you heard? This screws up all your lives. Miguel Alberto Escalona, 24, sat with his wife in a park in Vedado, bewildered. He sent a text to his family in Miami decrying the change. The news also brought to the surface frustrations for young Cubans, especially concerning the new dynamic that an increase in tourism is bringing to the nation. Food prices have surged to meet the demand, while what scant resources the country are redirected to the outsiders now flooding Cuba, especially Americans. I'm totally against the change in the law, Mr. Escalona wrote to his family. Here in Cuba, we have nothing to live for. Our",2.822144415404182e-05,"{'score': 2.822144415404182e-05, 'start': 0, 'end': 6, 'answer': 'Monges'}",Monges,0,6,"Monges, who had been working in"
"Who surrendered to the authorities for changing the Hollywood sign to ""Hollyweed""?",3,17623,"Levi Felix, who wanted people to untangle themselves from technology, died in Pismo Beach. He was 32. [The New York Times] An innovative development in Orange County will place homeless veterans in repurposed shipping containers. [Orange County Register] It's not just how berries taste, it's how they're perceived. A sensory analyst in Watsonville explains. [The New York Times] No one understands our new era of populism better than Bravo's Andy Cohen. [The New York Times] In East Hollywood, Virgil Normal is where the cool kids shop. [The New York Times] A debut novel gets inside the heads of Marin County teenagers who have sharpened their claws on social media. [The New York Times] The Daily 360 Video: At the border near San Diego, separated family members reunite through the fence. [The New York Times] President Obama granted national monument status to 6, 230 acres of land in California. [KPCC] Hello, I'm Johnny Cash. That opening line, as if the assembled audience needed any introduction, gave way to a giddy roar and then, one of country music's great performances. It was on this day in 1968 that Johnny Cash played his At Folsom Prison? concert. The event was meant to revive Mr. Cash's career, which had flagged since the 1950s thanks to an amphetamine habit. Executives at Mr. Cash's record label, Columbia Records, saw him as so unreliable that they kept the planning of the Folsom show a secret from the press, said Robert Hilburn, author of Johnny Cash: The Life. They weren't certain he would show. Thankfully, he did. And he was incredible. It was like he sensed this was a moment, said Mr. Hilburn, who himself attended the concert after hearing about it from a disc jockey. Mr. Cash tailored his song choices along themes of longing, sin and misfortune, including, of course, his 1955 hit Folsom Prison Blues. Assembled in the heavily guarded Dining Room 2, the inmates couldn't get enough. You could just sense their spirit rising, said Mr. Hilburn. It was just electrifying. The band actually performed twice, in the morning and afternoon, to ensure a good recording. At Folsom Prison? drew largely from the first show and was released four months later. It was a huge success and kicked off a resurgence in Mr. Cash's popularity. A year later, he did another prison record, At San Quentin, which was also successful. In the wake of the performances, he became a prominent voice for prisoner rights. California Today goes live at 6 a. m. Pacific time weekdays. Tell us what you want to see: CAtoday@nytimes. com. The California Today columnist, Mike McPhate, is a Californian born outside Sacramento and raised in San Juan Capistrano. He lives in Davis. Follow him on Twitter. California Today is edited by Julie Bloom, who grew up in Los Angeles and attended U. C. Berkeley.",8.050545829973998e-07,"{'score': 8.050545829973998e-07, 'start': 920, 'end': 931, 'answer': 'Johnny Cash'}",Johnny Cash,920,931,"in California. [KPCC] Hello, I'm Johnny Cash. That opening line, as if"
What is the name of the journalist and archivist who advocated for the online publication of the C.I.A. files?,1,17778,"the agency (the magician, who someone claimed was a healer) or someone writes an interesting academic paper (the spiritualist healers) and the result is files like these, summaries of work that the agency thought notable enough to file away. Others have no apparent reason for having been collected by the C. I. A. like a ad for the Buffalo Bill Wax Museum. (Maybe it's a code, the key to which remains classified.) The Crest archive represents a major document dump, but the C. I. A. has published many other declassified files online. Its files are typically unclassified after 25 years. For those who believe the truth is out there, the website has a collection of reports on unidentified flying objects, and capitalized on interest in last year's reboot by posting the top five documents Mulder would love to get his hands on. After journalists at MuckRock, a news site, filed Freedom of Information Act requests for access to the Crest database, the C. I. A. said in 2015 that it would take 28 years to publish. In 2015, the agency cut its estimate to six years, and said the documents would be delivered on 1, 200 compact discs at the price of $108, 000. Put off by what he perceived as stalling, Mr. Best crowdfunded $15, 000 to print, scan and publish files himself. In October, the C. I. A. said it would post the files. C. I. A. made significant architectural and procedural changes to load and index the Crest documents more quickly, said Heather Fritz Horniak, a spokeswoman for the C. I. A. This means that we were able to post the entire Crest collection, totaling nearly 13 million pages, online much earlier than anticipated.",0.9786927103996277,"{'score': 0.9786927103996277, 'start': 1450, 'end': 1471, 'answer': 'Heather Fritz Horniak'}",Heather Fritz Horniak,1450,1471,"Crest documents more quickly, said Heather Fritz Horniak, a spokeswoman for the C."
